address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
1815 Kingsley Dr,Dallas,75216,33200,,,,,27094,Vacant Land,,521,48113005700,Dallas,18.9,26.82,32.688026,-96.795256,https://www.redfin.com/TX/Dallas/1815-Kingsley-Dr-75216/home/30844229
1017 Hoke Smith Dr,Dallas,75224,325000,3,2.0,1400,1952,7231,Single Family Residential,,13,48113006001,Dallas,17.41,24.55,32.7081028,-96.8389505,https://www.redfin.com/TX/Dallas/1017-Hoke-Smith-Dr-75224/home/30894008
3212 S Llewellyn Ave,Dallas,75224,229000,2,2.0,1040,1950,7318,Single Family Residential,,63,48113006001,Dallas,17.52,24.8,32.7064371,-96.8322643,https://www.redfin.com/TX/Dallas/3212-S-Llewellyn-Ave-75224/home/30893240
3030 Obannon Dr,Dallas,75224,215000,2,1.0,864,1950,7346,Single Family Residential,,113,48113006001,Dallas,17.23,24.46,32.7107081,-96.8352602,https://www.redfin.com/TX/Dallas/3030-O-Bannon-Dr-75224/home/30893776
3902 Orlando Ct,Dallas,75211,299900,,,1536,1942,12110,Multi-Family (2-4 Unit),,38,48113006701,Dallas,15.23,21.34,32.7442967,-96.8838117,https://www.redfin.com/TX/Dallas/3902-Orlando-Ct-75211/home/30852958
4330 Pensacola Ct,Dallas,75211,174000,2,1.0,784,1942,6665,Single Family Residential,,88,48113006701,Dallas,15.34,21.25,32.7438828,-96.8908211,https://www.redfin.com/TX/Dallas/4330-Pensacola-Ct-75211/home/30853459
411 N Gilpin Ave,Dallas,75211,250000,,,,,29250,Vacant Land,,321,48113006701,Dallas,14.91,21.11,32.748502,-96.880983,https://www.redfin.com/TX/Dallas/411-N-Gilpin-Ave-75211/home/35598520
3240 Lombardy Ln #102,Dallas,75220,100000,2,1.5,1008,1981,35240,Condo/Co-op,240,156,48113007204,Dallas,6.87,13.89,32.8662361,-96.8695806,https://www.redfin.com/TX/Dallas/3240-Lombardy-Ln-75220/unit-102/home/31137785
3209 Norwalk Ave,Dallas,75220,879000,8,8.0,5136,1982,7928,Multi-Family (5+ Unit),,28,48113007205,Dallas,7.13,14.2,32.8618824,-96.8678071,https://www.redfin.com/TX/Dallas/3209-Norwalk-Ave-75220/home/30882083
7510 Holly Hill Dr #150,Dallas,75231,190000,2,2.5,1178,1979,128197,Condo/Co-op,526,1,48113007815,Dallas,7.16,17.66,32.8785822,-96.7537494,https://www.redfin.com/TX/Dallas/7510-Holly-Hill-Dr-75231/unit-150/home/30859485
5750 Phoenix Dr #22,Dallas,75231,75000,1,1.0,605,1981,87425,Condo/Co-op,285,11,48113007815,Dallas,7.09,17.51,32.8761026,-96.7597315,https://www.redfin.com/TX/Dallas/5750-Phoenix-Dr-75231/unit-22/home/31133415
7522 Holly Hill Dr #14,Dallas,75231,90000,1,1.0,593,1979,107332,Condo/Co-op,300,11,48113007815,Dallas,7.12,17.65,32.8796872,-96.7530655,https://www.redfin.com/TX/Dallas/7522-Holly-Hill-Dr-75231/unit-14/home/30859462
7510 Holly Hill Dr #152,Dallas,75231,204500,2,2.5,1179,1979,,Condo/Co-op,527,20,48113007815,Dallas,7.16,17.66,32.8785822,-96.7537494,https://www.redfin.com/TX/Dallas/7510-Holly-Hill-Dr-75231/unit-152/home/30859479
7135 Fair Oaks Ave #21,Dallas,75231,150000,2,3.0,1427,1974,130070,Condo/Co-op,576,28,48113007815,Dallas,7.28,17.7,32.8740829,-96.7574426,https://www.redfin.com/TX/Dallas/7135-Fair-Oaks-Ave-75231/unit-21/home/30858565
7525 Holly Hill Dr #1,Dallas,75231,170000,1,1.0,863,1980,118832,Condo/Co-op,414,29,48113007815,Dallas,7.06,17.58,32.880068,-96.754181,https://www.redfin.com/TX/Dallas/7525-Holly-Hill-Dr-75231/unit-1/home/30859026
7510 Holly Hill Dr #105,Dallas,75231,199000,2,3.0,1176,1979,128197,Condo/Co-op,527,32,48113007815,Dallas,7.16,17.66,32.8785822,-96.7537494,https://www.redfin.com/TX/Dallas/7510-Holly-Hill-Dr-75231/unit-105/home/30859347
7431 Holly Hill Dr #210,Dallas,75231,105000,2,1.0,781,1979,122273,Condo/Co-op,379,34,48113007815,Dallas,7.07,17.55,32.878579,-96.756228,https://www.redfin.com/TX/Dallas/7431-Holly-Hill-Dr-75231/unit-210/home/31166332
7522 Holly Hill Dr #59,Dallas,75231,138888,1,1.0,817,1979,107332,Condo/Co-op,415,50,48113007815,Dallas,7.12,17.65,32.8796872,-96.7530655,https://www.redfin.com/TX/Dallas/7522-Holly-Hill-Dr-75231/unit-59/home/30859408
7107 Holly Hill Dr #209,Dallas,75231,139999,2,1.0,1077,1978,20647,Condo/Co-op,450,61,48113007815,Dallas,7.13,17.52,32.8746315,-96.7608768,https://www.redfin.com/TX/Dallas/7107-Holly-Hill-Dr-75231/unit-209/home/185781830
7450 Holly Hill Dr #103,Dallas,75231,264500,2,2.5,1312,1979,79105,Condo/Co-op,475,69,48113007815,Dallas,7.12,17.61,32.8784232,-96.7550866,https://www.redfin.com/TX/Dallas/7450-Holly-Hill-Dr-75231/unit-103/home/30859354
7510 Holly Hill Dr #127,Dallas,75231,199000,2,2.5,1184,1979,128197,Condo/Co-op,526,83,48113007815,Dallas,7.16,17.66,32.8785822,-96.7537494,https://www.redfin.com/TX/Dallas/7510-Holly-Hill-Dr-75231/unit-127/home/30859505
5750 Phoenix Dr Unit 46D,Dallas,75231,135000,2,2.0,1023,1981,43865,Condo/Co-op,480,84,48113007815,Dallas,7.09,17.51,32.8761026,-96.7597315,https://www.redfin.com/TX/Dallas/5750-Phoenix-Dr-75231/unit-46D/home/200367459
7522 Holly Hill Dr #7,Dallas,75231,80000,1,1.0,736,1979,107332,Condo/Co-op,374,98,48113007815,Dallas,7.12,17.65,32.8796872,-96.7530655,https://www.redfin.com/TX/Dallas/7522-Holly-Hill-Dr-75231/unit-7/home/30859464
7431 Holly Hill Dr #108,Dallas,75231,89900,2,1.0,785,1979,122273,Condo/Co-op,309,210,48113007815,Dallas,7.07,17.55,32.878579,-96.756228,https://www.redfin.com/TX/Dallas/7431-Holly-Hill-Dr-75231/unit-108/home/31166322
7431 Holly Hill Dr #110,Dallas,75231,104900,2,1.0,779,1979,122273,Condo/Co-op,382,255,48113007815,Dallas,7.07,17.55,32.878579,-96.756228,https://www.redfin.com/TX/Dallas/7431-Holly-Hill-Dr-75231/unit-110/home/31166328
7431 Holly Hill Dr #217,Dallas,75231,94900,1,1.0,609,1979,122273,Condo/Co-op,312,286,48113007815,Dallas,7.07,17.55,32.878579,-96.756228,https://www.redfin.com/TX/Dallas/7431-Holly-Hill-Dr-75231/unit-217/home/31166344
7126 Holly Hill Dr #304,Dallas,75231,109900,1,1.0,647,1983,39988,Condo/Co-op,119,384,48113007815,Dallas,7.22,17.62,32.8743184,-96.7588568,https://www.redfin.com/TX/Dallas/7126-Holly-Hill-Dr-75231/unit-304/home/31178889
7126 Holly Hill Dr #210,Dallas,75231,84900,1,1.0,573,1983,39988,Condo/Co-op,105,384,48113007815,Dallas,7.22,17.62,32.8743184,-96.7588568,https://www.redfin.com/TX/Dallas/7126-Holly-Hill-Dr-75231/unit-210/home/31178902
6050 Melody Ln #324,Dallas,75231,59000,1,1.0,623,1979,351616,Condo/Co-op,270,62,48113007819,Dallas,7.55,17.86,32.8676011,-96.7604992,https://www.redfin.com/TX/Dallas/6050-Melody-Ln-75231/unit-324/home/30868555
6050 Melody Ln #308,Dallas,75231,64900,1,1.0,787,1979,351616,Condo/Co-op,343,77,48113007819,Dallas,7.55,17.86,32.8676011,-96.7604992,https://www.redfin.com/TX/Dallas/6050-Melody-Ln-75231/unit-308/home/30868531
6141 Summer Creek Cir Unit I,Dallas,75231,299500,2,2.0,987,1980,148714,Condo/Co-op,150,112,48113007819,Dallas,8.05,18.37,32.86243,-96.754127,https://www.redfin.com/TX/Dallas/6141-Summer-Creek-Cir-75231/unit-I/home/30868657
6050 Melody Ln #317,Dallas,75231,81000,1,1.0,787,1979,351616,Condo/Co-op,312,115,48113007819,Dallas,7.55,17.86,32.8676011,-96.7604992,https://www.redfin.com/TX/Dallas/6050-Melody-Ln-75231/unit-317/home/30869069
6050 Melody Ln #318,Dallas,75231,64900,1,1.0,787,1979,351616,Condo/Co-op,343,135,48113007819,Dallas,7.55,17.86,32.8676011,-96.7604992,https://www.redfin.com/TX/Dallas/6050-Melody-Ln-75231/unit-318/home/30869066
6050 Melody Ln #108,Dallas,75231,99000,2,2.0,1127,1979,351616,Condo/Co-op,494,136,48113007819,Dallas,7.55,17.86,32.8676011,-96.7604992,https://www.redfin.com/TX/Dallas/6050-Melody-Ln-75231/unit-108/home/30868546
6107 Summer Creek Cir,Dallas,75231,345000,2,2.0,1272,1980,148714,Townhouse,150,167,48113007819,Dallas,7.97,18.29,32.863409,-96.755025,https://www.redfin.com/TX/Dallas/6107-Summer-Creek-Cir-75231/home/30868587
6050 Melody Ln #209,Dallas,75231,74900,1,1.0,623,1979,351616,Condo/Co-op,270,256,48113007819,Dallas,7.55,17.86,32.8676011,-96.7604992,https://www.redfin.com/TX/Dallas/6050-Melody-Ln-75231/unit-209/home/30869087
6050 Melody Ln #107,Dallas,75231,114500,2,2.0,1127,1979,,Condo/Co-op,490,315,48113007819,Dallas,7.55,17.86,32.8676011,-96.7604992,https://www.redfin.com/TX/Dallas/6050-Melody-Ln-75231/unit-107/home/30868547
8110 Skillman St #2072,Dallas,75231,85000,2,2.0,843,1980,343035,Condo/Co-op,451,6,48113007827,Dallas,7.59,18.34,32.890158,-96.728901,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-2072/home/31066336
8110 Skillman St #2032,Dallas,75231,109999,2,2.0,962,1980,343035,Condo/Co-op,551,7,48113007827,Dallas,7.59,18.34,32.890158,-96.728901,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-2032/home/31064749
9910 Royal Ln #1006,Dallas,75231,188500,2,1.5,1070,1981,277782,Condo/Co-op,533,9,48113007827,Dallas,7.66,18.43,32.89365,-96.724191,https://www.redfin.com/TX/Dallas/9910-Royal-Ln-75231/unit-1006/home/31127539
9910 Royal Ln #903,Dallas,75231,239900,2,2.5,1195,1981,277782,Townhouse,595,20,48113007827,Dallas,7.66,18.43,32.89365,-96.724191,https://www.redfin.com/TX/Dallas/9910-Royal-Ln-75231/unit-903/home/31127562
7340 Skillman St #402,Dallas,75231,132900,2,1.0,855,1982,275865,Condo/Co-op,565,23,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-402/home/31177714
7340 Skillman St #1207,Dallas,75231,139999,2,2.0,882,1983,275865,Condo/Co-op,580,28,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-1207/home/31179178
9910 Royal Ln #1202,Dallas,75231,195000,2,1.5,1070,1981,277782,Condo/Co-op,433,29,48113007827,Dallas,7.66,18.43,32.89365,-96.724191,https://www.redfin.com/TX/Dallas/9910-Royal-Ln-75231/unit-1202/home/31127549
8110 Skillman St #1062,Dallas,75231,79500,2,2.0,843,1980,343035,Condo/Co-op,410,30,48113007827,Dallas,7.59,18.34,32.890158,-96.728901,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-1062/home/31064853
8110 Skillman St #1064,Dallas,75231,104900,2,2.0,843,1980,343035,Condo/Co-op,452,42,48113007827,Dallas,7.59,18.34,32.890158,-96.728901,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-1064/home/31064826
9910 Royal Ln #1204,Dallas,75231,192500,2,1.5,1070,1981,277782,Condo/Co-op,533,42,48113007827,Dallas,7.66,18.43,32.89365,-96.724191,https://www.redfin.com/TX/Dallas/9910-Royal-Ln-75231/unit-1204/home/31127471
8110 Skillman St #1002,Dallas,75231,64500,1,1.0,569,1980,,Condo/Co-op,336,49,48113007827,Dallas,7.63,18.37,32.8903733,-96.7279911,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-1002/home/200842628
7340 Skillman St #102,Dallas,75231,134999,2,1.0,855,1982,275865,Condo/Co-op,490,49,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-102/home/31177673
9222 Church Rd #108,Dallas,75231,225000,2,2.0,1379,1983,156511,Condo/Co-op,776,54,48113007827,Dallas,7.65,18.35,32.8857588,-96.7322383,https://www.redfin.com/TX/Dallas/9222-Church-Rd-75231/unit-108/home/31187478
8110 Skillman St #1067,Dallas,75231,67950,1,1.0,602,1980,343035,Condo/Co-op,336,69,48113007827,Dallas,7.59,18.34,32.890158,-96.728901,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-1067/home/31064824
7340 Skillman St #1203,Dallas,75231,129900,1,1.0,595,1983,275865,Condo/Co-op,392,76,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-1203/home/31179182
9910 Royal Ln #208,Dallas,75231,185000,1,1.5,1115,1981,277782,Condo/Co-op,423,83,48113007827,Dallas,7.66,18.43,32.89365,-96.724191,https://www.redfin.com/TX/Dallas/9910-Royal-Ln-75231/unit-208/home/31127609
9222 Church Rd #112,Dallas,75231,245000,2,2.0,1379,1983,156511,Condo/Co-op,772,90,48113007827,Dallas,7.65,18.35,32.8857588,-96.7322383,https://www.redfin.com/TX/Dallas/9222-Church-Rd-75231/unit-112/home/31187474
7340 Skillman St #1109,Dallas,75231,120000,1,1.0,663,1983,275861,Condo/Co-op,380,104,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-1109/home/31177582
8110 Skillman St #2031,Dallas,75231,90000,2,2.0,962,1980,343035,Condo/Co-op,534,114,48113007827,Dallas,7.59,18.34,32.890158,-96.728901,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-2031/home/31064752
9910 Royal Ln #1105,Dallas,75231,165000,1,1.5,876,1981,277782,Condo/Co-op,436,114,48113007827,Dallas,7.66,18.43,32.89365,-96.724191,https://www.redfin.com/TX/Dallas/9910-Royal-Ln-75231/unit-1105/home/31127545
7340 Skillman St #512,Dallas,75231,114900,2,1.0,855,1982,275865,Condo/Co-op,496,163,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-512/home/31177514
8110 Skillman St #1031,Dallas,75231,115000,3,2.0,962,1980,343035,Condo/Co-op,533,202,48113007827,Dallas,7.59,18.34,32.890158,-96.728901,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-1031/home/31064748
7340 Skillman St #1004,Dallas,75231,152500,1,1.0,673,1983,,Condo/Co-op,386,220,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-1004/home/31177560
8110 Skillman St #2020,Dallas,75231,89900,1,1.0,608,1980,343035,Condo/Co-op,300,224,48113007827,Dallas,7.59,18.34,32.890158,-96.728901,https://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-2020/home/31064730
9222 Church Rd #114,Dallas,75231,204500,1,1.5,1002,1983,156511,Townhouse,561,227,48113007827,Dallas,7.65,18.35,32.8857588,-96.7322383,https://www.redfin.com/TX/Dallas/9222-Church-Rd-75231/unit-114/home/31187486
7340 Skillman St #1106,Dallas,75231,139900,2,2.0,882,1983,275865,Condo/Co-op,585,291,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-1106/home/31177571
7340 Skillman St #1113,Dallas,75231,143000,1,1.0,663,1983,275865,Condo/Co-op,437,334,48113007827,Dallas,7.73,18.42,32.882874,-96.733402,https://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-1113/home/31177578
6122 Ridgecrest Rd #2007,Dallas,75231,105000,1,1.0,785,1981,29621,Condo/Co-op,307,228,48113007831,Dallas,7.64,18.0,32.8679878,-96.7568805,https://www.redfin.com/TX/Dallas/6122-Ridgecrest-Rd-75231/unit-2007/home/31129202
8522 Park Ln #6,Dallas,75231,185000,2,2.5,2120,1979,53797,Single Family Residential,418,69,48113007832,Dallas,7.48,17.85,32.8704364,-96.7576512,https://www.redfin.com/TX/Dallas/8522-Park-Ln-75231/unit-6/home/30859286
8560 Park Ln Unit 229 / 46,Dallas,75231,159990,3,2.0,1310,1974,266979,Condo/Co-op,264,3,48113007832,Dallas,7.63,18.02,32.869082,-96.7552541,https://www.redfin.com/TX/Dallas/8560-Park-Ln-75231/unit-229-46/home/201584615
8560 Park Ln Unit 127 Unit 29,Dallas,75231,159990,3,2.0,1310,1974,266979,Condo/Co-op,264,9,48113007832,Dallas,7.63,18.02,32.869082,-96.7552541,https://www.redfin.com/TX/Dallas/8560-Park-Ln-75231/unit-127-Unit-29/home/201506466
8560 Park Ln #133,Dallas,75231,179900,3,2.0,1310,1974,266979,Condo/Co-op,264,15,48113007832,Dallas,7.64,18.02,32.868909,-96.755321,https://www.redfin.com/TX/Dallas/8560-Park-Ln-75231/unit-133/home/30859217
6620 Eastridge Dr #219,Dallas,75231,119999,2,2.0,1028,1970,141570,Condo/Co-op,392,13,48113007833,Dallas,8.09,18.49,32.8644,-96.7494,https://www.redfin.com/TX/Dallas/6620-Eastridge-Dr-75231/unit-219/home/30859175
8750 Park Ln #132,Dallas,75231,189000,1,1.0,701,1982,701,Condo/Co-op,346,17,48113007833,Dallas,7.82,18.26,32.8689345,-96.7498586,https://www.redfin.com/TX/Dallas/8750-Park-Ln-75231/unit-132/home/201532635
8710 Park Ln Unit C2,Dallas,75231,150000,1,1.5,1082,1974,45302,Condo/Co-op,600,24,48113007833,Dallas,7.75,18.18,32.8693751,-96.7513973,https://www.redfin.com/TX/Dallas/8710-Park-Ln-75231/unit-C2/home/30859057
6610 Eastridge Dr #114,Dallas,75231,299990,2,2.5,1496,1970,141570,Townhouse,570,64,48113007833,Dallas,8.12,18.51,32.8642233,-96.7490118,https://www.redfin.com/TX/Dallas/6610-Eastridge-Dr-75231/unit-114/home/30859203
8750 Park Ln #157,Dallas,75231,219000,2,2.5,1211,1982,92609,Condo/Co-op,543,128,48113007833,Dallas,7.82,18.26,32.8689345,-96.7498586,https://www.redfin.com/TX/Dallas/8750-Park-Ln-75231/unit-157/home/31172601
8750 Park Ln #147,Dallas,75231,135000,2,2.0,992,1982,92609,Condo/Co-op,405,178,48113007833,Dallas,7.82,18.26,32.868989,-96.7498773,https://www.redfin.com/TX/Dallas/8750-Park-Ln-75231/unit-147/home/167135352
9747 Whitehurst Dr #94,Dallas,75243,78000,1,1.0,573,1982,184825,Townhouse,245,15,48113007834,Dallas,7.35,18.14,32.901234,-96.724399,https://www.redfin.com/TX/Dallas/9747-Whitehurst-Dr-75243/unit-94/home/31189082
9747 Whitehurst Dr #150,Dallas,75243,87500,1,1.0,647,1982,,Condo/Co-op,200,101,48113007834,Dallas,7.35,18.14,32.901234,-96.724399,https://www.redfin.com/TX/Dallas/9747-Whitehurst-Dr-75243/unit-150/home/31189015
9747 Whitehurst Dr #137,Dallas,75243,79500,1,1.0,573,1982,184816,Condo/Co-op,,360,48113007834,Dallas,7.35,18.14,32.901234,-96.724399,https://www.redfin.com/TX/Dallas/9747-Whitehurst-Dr-75243/unit-137/home/31189011
8518 Coppertowne Ln,Dallas,75243,325000,2,2.5,1349,1982,2178,Townhouse,414,3,48113007835,Dallas,7.44,18.21,32.8963317,-96.7266009,https://www.redfin.com/TX/Dallas/8518-Coppertowne-Ln-75243/home/31152591
8600 Coppertowne Ln #206,Dallas,75243,150000,2,1.0,864,1982,392388,Condo/Co-op,400,5,48113007835,Dallas,7.45,18.23,32.8977864,-96.7250763,https://www.redfin.com/TX/Dallas/8600-Coppertowne-Ln-75243/unit-206/home/31166546
8600 Coppertowne Ln #903,Dallas,75243,190000,2,1.0,866,1982,392388,Condo/Co-op,401,8,48113007835,Dallas,7.45,18.23,32.8977864,-96.7250763,https://www.redfin.com/TX/Dallas/8600-Coppertowne-Ln-75243/unit-903/home/31166493
8643 Brittania Ct,Dallas,75243,329000,3,3.0,1765,1993,2614,Townhouse,434,15,48113007835,Dallas,7.51,18.29,32.8978158,-96.7237527,https://www.redfin.com/TX/Dallas/8643-Brittania-Ct-75243/home/31152561
8600 Coppertowne Ln #2004,Dallas,75243,165000,1,1.0,713,1984,392388,Condo/Co-op,300,20,48113007835,Dallas,7.45,18.23,32.8977864,-96.7250763,https://www.redfin.com/TX/Dallas/8600-Coppertowne-Ln-75243/unit-2004/home/31166301
8550 Fair Oaks Xing #115,Dallas,75243,180000,2,2.5,1121,1982,324086,Single Family Residential,487,24,48113007835,Dallas,7.36,18.13,32.8970391,-96.7277102,https://www.redfin.com/TX/Dallas/8550-Fair-Oaks-Xing-75243/unit-115/home/31193341
9801 Royal Ln #707,Dallas,75231,205000,2,2.0,1067,1981,249468,Condo/Co-op,615,27,48113007835,Dallas,7.41,18.17,32.8954576,-96.7280441,https://www.redfin.com/TX/Dallas/9801-Royal-Ln-75231/unit-707/home/31126872
8418 Towneship Ln,Dallas,75243,315000,2,2.5,1311,1982,3311,Townhouse,415,41,48113007835,Dallas,7.45,18.23,32.8967328,-96.7259339,https://www.redfin.com/TX/Dallas/8418-Towneship-Ln-75243/home/31152598
9609 Orchard Hl,Dallas,75243,425000,3,2.0,2097,1974,4051,Townhouse,300,47,48113007835,Dallas,7.58,18.37,32.8964931,-96.723325,https://www.redfin.com/TX/Dallas/9609-Orchard-Hl-75243/home/31064026
8417 Towneship Ln,Dallas,75243,460000,3,2.5,2124,1993,2701,Townhouse,410,58,48113007835,Dallas,7.44,18.22,32.8970601,-96.7259666,https://www.redfin.com/TX/Dallas/8417-Towneship-Ln-75243/home/31152509
8600 Coppertowne Ln #501,Dallas,75243,179900,1,1.0,721,1982,198024,Condo/Co-op,340,62,48113007835,Dallas,7.45,18.23,32.8977864,-96.7250763,https://www.redfin.com/TX/Dallas/8600-Coppertowne-Ln-75243/unit-501/home/31166523
9801 Royal Ln #703,Dallas,75231,175000,2,2.5,1111,1981,249468,Condo/Co-op,517,63,48113007835,Dallas,7.41,18.17,32.8954576,-96.7280441,https://www.redfin.com/TX/Dallas/9801-Royal-Ln-75231/unit-703/home/200672809
8600 Coppertowne Ln #1407,Dallas,75243,100000,1,1.0,713,1983,392388,Condo/Co-op,305,79,48113007835,Dallas,7.45,18.23,32.8977864,-96.7250763,https://www.redfin.com/TX/Dallas/8600-Coppertowne-Ln-75243/unit-1407/home/31166390
9611 Orchard Hl,Dallas,75243,385000,3,2.0,1706,1974,4051,Townhouse,300,110,48113007835,Dallas,7.59,18.38,32.8963915,-96.7231995,https://www.redfin.com/TX/Dallas/9611-Orchard-Hl-75243/home/31064027
8600 Coppertowne Ln #1507,Dallas,75243,184000,2,2.0,968,1983,392388,Condo/Co-op,409,113,48113007835,Dallas,7.45,18.23,32.8977864,-96.7250763,https://www.redfin.com/TX/Dallas/8600-Coppertowne-Ln-75243/unit-1507/home/31166398
9801 Royal Ln #506,Dallas,75231,195000,2,2.5,1228,1981,,Condo/Co-op,517,174,48113007835,Dallas,7.41,18.17,32.8954576,-96.7280441,https://www.redfin.com/TX/Dallas/9801-Royal-Ln-75231/unit-506/home/31126827
3822 Vandervort Dr,Dallas,75216,479900,4,3.5,3150,1955,16248,Single Family Residential,,7,48113008604,Dallas,17.18,25.82,32.7173566,-96.7655089,https://www.redfin.com/TX/Dallas/3822-Vandervort-Dr-75216/home/30905731
3807 Arocha Dr,Dallas,75216,75000,,,,,8276,Vacant Land,,15,48113008604,Dallas,16.98,25.65,32.720429,-96.764944,https://www.redfin.com/TX/Dallas/3807-Arocha-Dr-75216/home/201390367
3021 Springview Ave,Dallas,75216,340000,4,2.0,2227,2021,10498,Single Family Residential,,38,48113008604,Dallas,17.24,25.7,32.7148105,-96.7750106,https://www.redfin.com/TX/Dallas/3021-Springview-Ave-75216/home/30905270
3322 Springview Ave,Dallas,75216,380000,4,3.0,2010,2026,11979,Single Family Residential,,43,48113008604,Dallas,17.33,25.88,32.7142923,-96.7697067,https://www.redfin.com/TX/Dallas/3322-Springview-Ave-75216/home/30905758
3427 Fordham Rd,Dallas,75216,89900,,,,,11021,Vacant Land,,62,48113008604,Dallas,17.36,25.96,32.714529,-96.766527,https://www.redfin.com/TX/Dallas/3427-Fordham-Rd-75216/home/30905762
3712 Alsbury St,Dallas,75216,80000,,,,,7667,Vacant Land,,67,48113008604,Dallas,17.05,25.71,32.7192811,-96.7652903,https://www.redfin.com/TX/Dallas/3712-Alsbury-St-75216/home/196025633
3706 Alsbury St,Dallas,75216,80000,,,,,7057,Vacant Land,,73,48113008604,Dallas,17.04,25.69,32.719476,-96.765492,https://www.redfin.com/TX/Dallas/3706-Alsbury-St-75216/home/196025614
3702 Alsbury St,Dallas,75216,150000,,,,,17511,Vacant Land,,73,48113008604,Dallas,17.02,25.67,32.719732,-96.7656389,https://www.redfin.com/TX/Dallas/3702-Alsbury-St-75216/home/196025571
3737 Kolloch Dr,Dallas,75216,75000,,,,,10367,Vacant Land,,78,48113008604,Dallas,17.1,25.78,32.718862,-96.763863,https://www.redfin.com/TX/Dallas/3737-Kolloch-Dr-75216/home/30906001
2944 King Cole Dr,Dallas,75216,329000,3,2.5,2292,1972,8015,Single Family Residential,,78,48113008604,Dallas,16.84,25.36,32.7207855,-96.7744163,https://www.redfin.com/TX/Dallas/2944-King-Cole-Dr-75216/home/30905528
3232 Springview Ave,Dallas,75216,190000,3,1.0,1108,1951,12589,Single Family Residential,,119,48113008604,Dallas,17.31,25.83,32.7144024,-96.7712789,https://www.redfin.com/TX/Dallas/3232-Springview-Ave-75216/home/30905088
3710 Prosperity Ave,Dallas,75216,420000,5,3.0,2404,2018,6447,Single Family Residential,,137,48113008604,Dallas,17.2,25.86,32.7173469,-96.7640749,https://www.redfin.com/TX/Dallas/3710-Prosperity-Ave-75216/home/30905968
3716 Bonnie View Rd,Dallas,75216,100000,,,,,9365,Vacant Land,,158,48113008604,Dallas,17.32,25.76,32.7136446,-96.7752396,https://www.redfin.com/TX/Dallas/3716-Bonnie-View-Rd-75216/home/30905219
3733 Kolloch Dr,Dallas,75216,90000,,,,,7061,Vacant Land,,237,48113008604,Dallas,17.08,25.76,32.719087,-96.763952,https://www.redfin.com/TX/Dallas/3733-Kolloch-Dr-75216/home/30906002
3503 E Overton Rd,Dallas,75216,125000,,,,,15985,Vacant Land,,1362,48113008604,Dallas,16.92,25.52,32.720579,-96.769148,https://www.redfin.com/TX/Dallas/3503-Overton-Ct-75216/home/30905525
2511 Custer Dr,Dallas,75216,275000,3,2.0,1437,2020,6926,Single Family Residential,,8,48113008703,Dallas,17.95,26.17,32.7031353,-96.783708,https://www.redfin.com/TX/Dallas/2511-Custer-Dr-75216/home/30887461
2219 E Ann Arbor Ave,Dallas,75216,210000,3,2.0,1399,2026,6795,Single Family Residential,,10,48113008703,Dallas,18.29,26.44,32.6979307,-96.7857295,https://www.redfin.com/TX/Dallas/2219-E-Ann-Arbor-Ave-75216/home/30886986
2138 Custer Dr,Dallas,75216,270000,4,2.0,1714,1940,7579,Single Family Residential,,15,48113008703,Dallas,18.1,26.22,32.700296,-96.7885692,https://www.redfin.com/TX/Dallas/2138-Custer-Dr-75216/home/30854883
2751 Moffatt Ave,Dallas,75216,124995,3,1.5,980,1949,6882,Single Family Residential,,20,48113008703,Dallas,17.99,26.35,32.7036029,-96.7760836,https://www.redfin.com/TX/Dallas/2751-Moffatt-Ave-75216/home/30904544
