address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
3608 Metropolitan Ave,Dallas,75210,329000,4,2.5,1432,1936,6098,Single Family Residential,,21,48113002703,Dallas,13.78,23.09,32.7710664,-96.753757,https://www.redfin.com/TX/Dallas/3608-Metropolitan-Ave-75210/home/30804571
4310 Copeland St,Dallas,75210,310000,3,2.5,1600,2026,4095,Single Family Residential,,22,48113002703,Dallas,13.97,23.43,32.7714572,-96.7432968,https://www.redfin.com/TX/Dallas/4310-Copeland-St-75210/home/30805649
2646 Sutton St,Dallas,75210,249900,3,2.5,1604,2025,4008,Single Family Residential,,23,48113002703,Dallas,13.94,23.32,32.7702553,-96.7484826,https://www.redfin.com/TX/Dallas/2646-Sutton-St-75210/home/30805156
4302 Copeland St,Dallas,75210,238500,3,2.0,1350,2024,3899,Single Family Residential,,24,48113002703,Dallas,13.97,23.44,32.771255,-96.7435214,https://www.redfin.com/TX/Dallas/4302-Copeland-St-75210/home/30805647
3524 Hamilton Ave,Dallas,75210,285000,4,2.0,1847,2025,4008,Single Family Residential,,28,48113002703,Dallas,13.75,23.04,32.7712298,-96.7548232,https://www.redfin.com/TX/Dallas/3524-Hamilton-Ave-75210/home/30802011
4314 Hamilton Ave,Dallas,75210,110000,,,,,6360,Vacant Land,,30,48113002703,Dallas,13.52,22.95,32.7766193,-96.7488869,https://www.redfin.com/TX/Dallas/4314-Hamilton-Ave-75210/home/30804903
4503 Frank St,Dallas,75210,168020,3,2.0,1459,2023,4477,Single Family Residential,,30,48113002703,Dallas,13.6,23.1,32.7766168,-96.7446948,https://www.redfin.com/TX/Dallas/4503-Frank-St-75210/home/30815872
4215 Carpenter Ave,Dallas,75210,349000,3,2.5,1681,2026,6447,Single Family Residential,,38,48113002703,Dallas,14.05,23.51,32.770128,-96.7431896,https://www.redfin.com/TX/Dallas/4215-Carpenter-Ave-75210/home/30815498
3814 Pine St,Dallas,75210,210000,3,1.0,1120,1950,5358,Single Family Residential,,40,48113002703,Dallas,14.05,23.44,32.7690538,-96.7469389,https://www.redfin.com/TX/Dallas/3814-Pine-St-75210/home/30805050
2800 Carter St,Dallas,75210,324999,3,2.0,1430,2026,6621,Single Family Residential,,42,48113002703,Dallas,13.69,23.21,32.7760907,-96.7424002,https://www.redfin.com/TX/Dallas/2800-Carter-St-75210/home/30738907
2725 1st Ave,Dallas,75210,259000,3,2.5,1800,2025,5576,Single Family Residential,,44,48113002703,Dallas,14.08,23.4,32.7673388,-96.7508306,https://www.redfin.com/TX/Dallas/2725-1st-Ave-75210/home/30804708
3526 Spring Ave,Dallas,75210,354999,3,2.5,1750,2026,5924,Single Family Residential,,45,48113002703,Dallas,14.09,23.41,32.7674725,-96.7501825,https://www.redfin.com/TX/Dallas/3526-Spring-Ave-75210/home/200893147
3524 Spring Ave,Dallas,75210,354999,3,2.5,1750,2026,5924,Single Family Residential,,45,48113002703,Dallas,14.09,23.42,32.7673316,-96.7502616,https://www.redfin.com/TX/Dallas/3524-Spring-Ave-75210/home/30804784
4415 Jamaica St,Dallas,75210,295000,3,2.0,1630,2020,5227,Single Family Residential,,56,48113002703,Dallas,13.58,23.06,32.7766369,-96.7458967,https://www.redfin.com/TX/Dallas/4415-Jamaica-St-75210/home/30815882
4006 Metropolitan Ave,Dallas,75210,334999,4,2.5,1589,2024,6011,Single Family Residential,,58,48113002703,Dallas,13.66,23.04,32.7738495,-96.7506764,https://www.redfin.com/TX/Dallas/4006-Metropolitan-Ave-75210/home/30805228
4306 Jamaica St,Dallas,75210,249000,3,3.0,1568,1936,5924,Single Family Residential,,74,48113002703,Dallas,13.67,23.11,32.7747418,-96.7472011,https://www.redfin.com/TX/Dallas/4306-Jamaica-St-75210/home/30805412
